[2023-06-29 11:05:04,988] INFO     (lp.fx.MainApp            ): Application starting
[2023-06-29 11:05:05,991] INFO     (org.hibernate.Version    ): HHH000412: Hibernate ORM core version 5.6.15.Final
[2023-06-29 11:05:07,128] INFO     (org.hibernate.annotations.common.Version): HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2023-06-29 11:05:07,966] WARN     (org.hibernate.orm.connections.pooling): HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[2023-06-29 11:05:07,974] INFO     (org.hibernate.orm.connections.pooling): HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/bf2stats]
[2023-06-29 11:05:07,975] INFO     (org.hibernate.orm.connections.pooling): HHH10001001: Connection properties: {password=****, user=root}
[2023-06-29 11:05:07,976] INFO     (org.hibernate.orm.connections.pooling): HHH10001003: Autocommit mode: false
[2023-06-29 11:05:07,981] INFO     (org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl): HHH000115: Hibernate connection pool size: 1 (min=1)
[2023-06-29 11:05:08,336] INFO     (org.hibernate.dialect.Dialect): HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[2023-06-29 11:05:08,892] INFO     (org.hibernate.validator.internal.util.Version): HV000001: Hibernate Validator 6.0.2.Final
[2023-06-29 11:08:09,089] INFO     (lp.fx.MainApp            ): Application starting
[2023-06-29 11:08:10,610] INFO     (org.hibernate.Version    ): HHH000412: Hibernate ORM core version 5.6.15.Final
[2023-06-29 11:08:12,075] INFO     (org.hibernate.annotations.common.Version): HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2023-06-29 11:08:12,688] WARN     (org.hibernate.orm.connections.pooling): HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[2023-06-29 11:08:12,695] INFO     (org.hibernate.orm.connections.pooling): HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/bf2stats]
[2023-06-29 11:08:12,696] INFO     (org.hibernate.orm.connections.pooling): HHH10001001: Connection properties: {password=****, user=root}
[2023-06-29 11:08:12,696] INFO     (org.hibernate.orm.connections.pooling): HHH10001003: Autocommit mode: false
[2023-06-29 11:08:12,701] INFO     (org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl): HHH000115: Hibernate connection pool size: 1 (min=1)
[2023-06-29 11:08:13,144] INFO     (org.hibernate.dialect.Dialect): HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[2023-06-29 11:08:13,724] INFO     (org.hibernate.validator.internal.util.Version): HV000001: Hibernate Validator 6.0.2.Final
[2023-06-29 11:09:42,708] INFO     (lp.fx.MainApp            ): Application starting
[2023-06-29 11:09:44,106] INFO     (org.hibernate.Version    ): HHH000412: Hibernate ORM core version 5.6.15.Final
[2023-06-29 11:09:45,445] INFO     (org.hibernate.annotations.common.Version): HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2023-06-29 11:09:46,176] WARN     (org.hibernate.orm.connections.pooling): HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[2023-06-29 11:09:46,182] INFO     (org.hibernate.orm.connections.pooling): HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/bf2stats]
[2023-06-29 11:09:46,183] INFO     (org.hibernate.orm.connections.pooling): HHH10001001: Connection properties: {password=****, user=root}
[2023-06-29 11:09:46,183] INFO     (org.hibernate.orm.connections.pooling): HHH10001003: Autocommit mode: false
[2023-06-29 11:09:46,189] INFO     (org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl): HHH000115: Hibernate connection pool size: 1 (min=1)
[2023-06-29 11:09:46,571] INFO     (org.hibernate.dialect.Dialect): HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[2023-06-29 11:09:47,281] INFO     (org.hibernate.validator.internal.util.Version): HV000001: Hibernate Validator 6.0.2.Final
[2023-06-29 11:12:53,727] INFO     (lp.fx.MainApp            ): Application starting
[2023-06-29 11:12:55,338] INFO     (org.hibernate.Version    ): HHH000412: Hibernate ORM core version 5.6.15.Final
[2023-06-29 11:13:07,161] INFO     (lp.fx.MainApp            ): Application starting
[2023-06-29 11:13:08,603] INFO     (org.hibernate.Version    ): HHH000412: Hibernate ORM core version 5.6.15.Final
[2023-06-29 11:13:09,862] INFO     (org.hibernate.annotations.common.Version): HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2023-06-29 11:13:10,476] WARN     (org.hibernate.orm.connections.pooling): HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[2023-06-29 11:13:10,483] INFO     (org.hibernate.orm.connections.pooling): HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/bf2stats]
[2023-06-29 11:13:10,483] INFO     (org.hibernate.orm.connections.pooling): HHH10001001: Connection properties: {password=****, user=root}
[2023-06-29 11:13:10,483] INFO     (org.hibernate.orm.connections.pooling): HHH10001003: Autocommit mode: false
[2023-06-29 11:13:10,489] INFO     (org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl): HHH000115: Hibernate connection pool size: 1 (min=1)
[2023-06-29 11:13:10,877] INFO     (org.hibernate.dialect.Dialect): HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[2023-06-29 11:13:11,486] INFO     (org.hibernate.validator.internal.util.Version): HV000001: Hibernate Validator 6.0.2.Final
[2023-06-29 11:13:48,158] INFO     (lp.fx.MainApp            ): Application starting
[2023-06-29 11:13:49,579] INFO     (org.hibernate.Version    ): HHH000412: Hibernate ORM core version 5.6.15.Final
[2023-06-29 11:13:51,163] INFO     (org.hibernate.annotations.common.Version): HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2023-06-29 11:13:51,954] WARN     (org.hibernate.orm.connections.pooling): HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[2023-06-29 11:13:51,960] INFO     (org.hibernate.orm.connections.pooling): HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/bf2stats]
[2023-06-29 11:13:51,961] INFO     (org.hibernate.orm.connections.pooling): HHH10001001: Connection properties: {password=****, user=root}
[2023-06-29 11:13:51,961] INFO     (org.hibernate.orm.connections.pooling): HHH10001003: Autocommit mode: false
[2023-06-29 11:13:51,967] INFO     (org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl): HHH000115: Hibernate connection pool size: 1 (min=1)
[2023-06-29 11:13:52,319] INFO     (org.hibernate.dialect.Dialect): HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[2023-06-29 11:13:52,893] INFO     (org.hibernate.validator.internal.util.Version): HV000001: Hibernate Validator 6.0.2.Final
[2023-06-29 11:14:48,701] INFO     (lp.fx.MainApp            ): Application starting
[2023-06-29 11:14:50,044] INFO     (org.hibernate.Version    ): HHH000412: Hibernate ORM core version 5.6.15.Final
[2023-06-29 11:14:51,156] INFO     (org.hibernate.annotations.common.Version): HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2023-06-29 11:14:51,667] WARN     (org.hibernate.orm.connections.pooling): HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[2023-06-29 11:14:51,673] INFO     (org.hibernate.orm.connections.pooling): HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/bf2stats]
[2023-06-29 11:14:51,674] INFO     (org.hibernate.orm.connections.pooling): HHH10001001: Connection properties: {password=****, user=root}
[2023-06-29 11:14:51,674] INFO     (org.hibernate.orm.connections.pooling): HHH10001003: Autocommit mode: false
[2023-06-29 11:14:51,681] INFO     (org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl): HHH000115: Hibernate connection pool size: 1 (min=1)
[2023-06-29 11:14:52,021] INFO     (org.hibernate.dialect.Dialect): HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[2023-06-29 11:14:52,553] INFO     (org.hibernate.validator.internal.util.Version): HV000001: Hibernate Validator 6.0.2.Final
[2023-06-29 11:15:01,159] INFO     (lp.fx.MainApp            ): Application starting
[2023-06-29 11:15:02,861] INFO     (org.hibernate.Version    ): HHH000412: Hibernate ORM core version 5.6.15.Final
[2023-06-29 11:15:04,477] INFO     (org.hibernate.annotations.common.Version): HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2023-06-29 11:15:05,070] WARN     (org.hibernate.orm.connections.pooling): HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[2023-06-29 11:15:05,079] INFO     (org.hibernate.orm.connections.pooling): HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/bf2stats]
[2023-06-29 11:15:05,079] INFO     (org.hibernate.orm.connections.pooling): HHH10001001: Connection properties: {password=****, user=root}
[2023-06-29 11:15:05,079] INFO     (org.hibernate.orm.connections.pooling): HHH10001003: Autocommit mode: false
[2023-06-29 11:15:05,084] INFO     (org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl): HHH000115: Hibernate connection pool size: 1 (min=1)
[2023-06-29 11:15:05,415] INFO     (org.hibernate.dialect.Dialect): HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[2023-06-29 11:15:05,997] INFO     (org.hibernate.validator.internal.util.Version): HV000001: Hibernate Validator 6.0.2.Final
[2023-06-29 11:16:23,136] INFO     (lp.fx.MainApp            ): Application starting
[2023-06-29 11:16:24,619] INFO     (org.hibernate.Version    ): HHH000412: Hibernate ORM core version 5.6.15.Final
[2023-06-29 11:16:25,757] INFO     (org.hibernate.annotations.common.Version): HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2023-06-29 11:16:26,361] WARN     (org.hibernate.orm.connections.pooling): HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[2023-06-29 11:16:26,369] INFO     (org.hibernate.orm.connections.pooling): HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/bf2stats]
