[2023-06-23 16:55:10,926] INFO     (lp.fx.MainApp            ): 856.0
[2023-06-23 16:55:10,926] INFO     (lp.fx.MainApp            ): 48.1
[2023-06-23 16:55:10,940] INFO     (lp.fx.MainApp            ): 50.41224970553592
[2023-06-23 16:55:10,941] INFO     (lp.fx.MainApp            ): 856.0
[2023-06-23 16:55:10,941] INFO     (lp.fx.MainApp            ): 48.1
[2023-06-23 16:55:10,953] INFO     (lp.fx.MainApp            ): 50.41224970553592
[2023-06-23 16:55:10,953] INFO     (lp.fx.MainApp            ): 856.0
[2023-06-23 16:55:10,953] INFO     (lp.fx.MainApp            ): 48.1
[2023-06-23 16:55:10,961] INFO     (lp.fx.MainApp            ): 50.41224970553592
[2023-06-23 16:55:10,961] INFO     (lp.fx.MainApp            ): 856.0
[2023-06-23 16:55:10,961] INFO     (lp.fx.MainApp            ): 48.1
[2023-06-23 16:55:11,025] INFO     (lp.fx.MainApp            ): 50.41224970553592
[2023-06-23 16:55:11,025] INFO     (lp.fx.MainApp            ): 856.0
[2023-06-23 16:55:11,026] INFO     (lp.fx.MainApp            ): 48.1
[2023-06-23 16:55:11,063] INFO     (lp.fx.MainApp            ): 50.41224970553592
[2023-06-23 16:55:11,064] INFO     (lp.fx.MainApp            ): 856.0
[2023-06-23 16:55:11,064] INFO     (lp.fx.MainApp            ): 48.1
[2023-06-23 16:55:11,140] INFO     (lp.fx.MainApp            ): 50.41224970553592
[2023-06-23 16:55:11,140] INFO     (lp.fx.MainApp            ): 856.0
[2023-06-23 16:55:11,140] INFO     (lp.fx.MainApp            ): 48.1
[2023-06-23 16:57:18,895] INFO     (lp.fx.MainApp            ): 26.003062787136294
[2023-06-23 16:57:18,896] INFO     (lp.fx.MainApp            ): 50.0
