[2023-07-04 14:29:51,742] INFO     (org.hibernate.Version    ): HHH000412: Hibernate ORM core version 5.6.15.Final
[2023-07-04 14:29:52,692] INFO     (org.hibernate.annotations.common.Version): HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2023-07-04 14:29:53,365] WARN     (org.hibernate.orm.connections.pooling): HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[2023-07-04 14:29:53,378] INFO     (org.hibernate.orm.connections.pooling): HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/bf2stats]
[2023-07-04 14:29:53,379] INFO     (org.hibernate.orm.connections.pooling): HHH10001001: Connection properties: {password=****, user=root}
[2023-07-04 14:29:53,379] INFO     (org.hibernate.orm.connections.pooling): HHH10001003: Autocommit mode: false
[2023-07-04 14:29:53,387] INFO     (org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl): HHH000115: Hibernate connection pool size: 1 (min=1)
[2023-07-04 14:29:53,832] INFO     (org.hibernate.dialect.Dialect): HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[2023-07-04 14:29:54,333] INFO     (org.hibernate.validator.internal.util.Version): HV000001: Hibernate Validator 6.0.2.Final
[2023-07-04 14:29:56,289] INFO     (lp.fx.MainApp            ): Application starting
[2023-07-04 14:33:39,044] INFO     (org.hibernate.Version    ): HHH000412: Hibernate ORM core version 5.6.15.Final
[2023-07-04 14:33:39,827] INFO     (org.hibernate.annotations.common.Version): HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2023-07-04 14:33:40,492] WARN     (org.hibernate.orm.connections.pooling): HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[2023-07-04 14:33:40,503] INFO     (org.hibernate.orm.connections.pooling): HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/bf2stats]
[2023-07-04 14:33:40,504] INFO     (org.hibernate.orm.connections.pooling): HHH10001001: Connection properties: {password=****, user=root}
[2023-07-04 14:33:40,504] INFO     (org.hibernate.orm.connections.pooling): HHH10001003: Autocommit mode: false
[2023-07-04 14:33:40,510] INFO     (org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl): HHH000115: Hibernate connection pool size: 1 (min=1)
[2023-07-04 14:33:40,854] INFO     (org.hibernate.dialect.Dialect): HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[2023-07-04 14:33:41,354] INFO     (org.hibernate.validator.internal.util.Version): HV000001: Hibernate Validator 6.0.2.Final
[2023-07-04 14:33:43,139] INFO     (lp.fx.MainApp            ): Application starting
[2023-07-04 14:51:40,723] INFO     (org.hibernate.Version    ): HHH000412: Hibernate ORM core version 5.6.15.Final
[2023-07-04 14:51:41,637] INFO     (org.hibernate.annotations.common.Version): HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2023-07-04 14:51:42,338] WARN     (org.hibernate.orm.connections.pooling): HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[2023-07-04 14:51:42,350] INFO     (org.hibernate.orm.connections.pooling): HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/bf2stats]
[2023-07-04 14:51:42,351] INFO     (org.hibernate.orm.connections.pooling): HHH10001001: Connection properties: {password=****, user=root}
[2023-07-04 14:51:42,351] INFO     (org.hibernate.orm.connections.pooling): HHH10001003: Autocommit mode: false
[2023-07-04 14:51:42,359] INFO     (org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl): HHH000115: Hibernate connection pool size: 1 (min=1)
[2023-07-04 14:51:42,901] INFO     (org.hibernate.dialect.Dialect): HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[2023-07-04 14:51:43,433] INFO     (org.hibernate.validator.internal.util.Version): HV000001: Hibernate Validator 6.0.2.Final
[2023-07-04 14:51:45,502] INFO     (lp.fx.MainApp            ): Application starting
[2023-07-04 14:52:08,118] INFO     (org.hibernate.Version    ): HHH000412: Hibernate ORM core version 5.6.15.Final
[2023-07-04 14:52:08,983] INFO     (org.hibernate.annotations.common.Version): HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2023-07-04 14:52:09,871] WARN     (org.hibernate.orm.connections.pooling): HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[2023-07-04 14:52:09,886] INFO     (org.hibernate.orm.connections.pooling): HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/bf2stats]
[2023-07-04 14:52:09,887] INFO     (org.hibernate.orm.connections.pooling): HHH10001001: Connection properties: {password=****, user=root}
[2023-07-04 14:52:09,888] INFO     (org.hibernate.orm.connections.pooling): HHH10001003: Autocommit mode: false
[2023-07-04 14:52:09,898] INFO     (org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl): HHH000115: Hibernate connection pool size: 1 (min=1)
[2023-07-04 14:52:10,403] INFO     (org.hibernate.dialect.Dialect): HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[2023-07-04 14:52:10,943] INFO     (org.hibernate.validator.internal.util.Version): HV000001: Hibernate Validator 6.0.2.Final
[2023-07-04 14:52:13,134] INFO     (lp.fx.MainApp            ): Application starting
[2023-07-04 14:54:03,579] INFO     (org.hibernate.Version    ): HHH000412: Hibernate ORM core version 5.6.15.Final
[2023-07-04 14:54:04,428] INFO     (org.hibernate.annotations.common.Version): HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2023-07-04 14:54:05,105] WARN     (org.hibernate.orm.connections.pooling): HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[2023-07-04 14:54:05,117] INFO     (org.hibernate.orm.connections.pooling): HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/bf2stats]
[2023-07-04 14:54:05,118] INFO     (org.hibernate.orm.connections.pooling): HHH10001001: Connection properties: {password=****, user=root}
[2023-07-04 14:54:05,118] INFO     (org.hibernate.orm.connections.pooling): HHH10001003: Autocommit mode: false
[2023-07-04 14:54:05,126] INFO     (org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl): HHH000115: Hibernate connection pool size: 1 (min=1)
[2023-07-04 14:54:05,565] INFO     (org.hibernate.dialect.Dialect): HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[2023-07-04 14:54:06,118] INFO     (org.hibernate.validator.internal.util.Version): HV000001: Hibernate Validator 6.0.2.Final
[2023-07-04 14:54:07,974] INFO     (lp.fx.MainApp            ): Application starting
[2023-07-04 14:58:30,754] INFO     (org.hibernate.Version    ): HHH000412: Hibernate ORM core version 5.6.15.Final
[2023-07-04 14:58:31,346] INFO     (org.hibernate.annotations.common.Version): HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2023-07-04 14:58:31,803] WARN     (org.hibernate.orm.connections.pooling): HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[2023-07-04 14:58:31,810] INFO     (org.hibernate.orm.connections.pooling): HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/bf2stats]
[2023-07-04 14:58:31,811] INFO     (org.hibernate.orm.connections.pooling): HHH10001001: Connection properties: {password=****, user=root}
[2023-07-04 14:58:31,811] INFO     (org.hibernate.orm.connections.pooling): HHH10001003: Autocommit mode: false
[2023-07-04 14:58:31,816] INFO     (org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl): HHH000115: Hibernate connection pool size: 1 (min=1)
[2023-07-04 14:58:32,085] INFO     (org.hibernate.dialect.Dialect): HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[2023-07-04 14:58:32,615] INFO     (org.hibernate.validator.internal.util.Version): HV000001: Hibernate Validator 6.0.2.Final
[2023-07-04 14:58:34,023] INFO     (lp.fx.MainApp            ): Application starting
[2023-07-04 14:59:25,956] INFO     (org.hibernate.Version    ): HHH000412: Hibernate ORM core version 5.6.15.Final
[2023-07-04 14:59:26,958] INFO     (org.hibernate.annotations.common.Version): HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2023-07-04 14:59:27,680] WARN     (org.hibernate.orm.connections.pooling): HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[2023-07-04 14:59:27,695] INFO     (org.hibernate.orm.connections.pooling): HHH10001005: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/bf2stats]
[2023-07-04 14:59:27,696] INFO     (org.hibernate.orm.connections.pooling): HHH10001001: Connection properties: {password=****, user=root}
[2023-07-04 14:59:27,696] INFO     (org.hibernate.orm.connections.pooling): HHH10001003: Autocommit mode: false
[2023-07-04 14:59:27,702] INFO     (org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl): HHH000115: Hibernate connection pool size: 1 (min=1)
[2023-07-04 14:59:28,174] INFO     (org.hibernate.dialect.Dialect): HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[2023-07-04 14:59:28,752] INFO     (org.hibernate.validator.internal.util.Version): HV000001: Hibernate Validator 6.0.2.Final
[2023-07-04 14:59:30,878] INFO     (lp.fx.MainApp            ): Application starting
